ItemNr,Correct
85,0
99,1
10,1
54,1
65,0
137,0
154,1
114,0
168,1
167,0
122,0
26,0
166,1
19,1
53,0
53,1
19,1
109,0
26,1
114,0
85,0
10,1
102,1
114,0
53,1
162,0
65,1
166,1
17,1
162,0
99,1
108,0
54,1
4,1
102,1
67,0
65,1
6,1
154,1
139,1
109,1
114,1
108,0
67,1
4,1
96,1
85,1
168,1
13,0
108,1
17,1
159,0
6,1
160,0
109,0
159,0
67,1
63,0
122,0
137,0
85,0
122,1
26,1
7,1
114,1
14,1
14,1
116,0
108,1
133,1
162,1
109,1
133,1
48,0
139,1
51,1
13,1
51,1
42,1
48,1
167,1
167,1
1,1
96,1
175,1
160,0
48,1
52,1
116,1
116,1
29,1
63,0
160,1
85,1
42,1
60,0
162,1
37,1
63,1
37,1
97,1
175,1
130,1
85,1
150,1
63,1
70,1
109,1
47,1
150,1
171,1
29,1
34,1
7,1
128,1
6,1
85,1
171,1
100,1
128,1
111,0
34,1
115,0
111,1
1,1
73,1
111,1
38,1
137,1
97,1
107,0
100,1
152,0
60,0
13,1
45,1
45,1
76,1
76,1
57,0
52,1
56,1
